target_side,target_time,cue_side,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block0.thisRepN,block0.thisTrialN,block0.thisN,block0.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,trialKey.keys,trialKey.rt,date,frameRate,expName,session,participant,
left,350,left,,,,,4,12,108,16,,,,,space,1.25149271765,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,right,,,,,4,13,109,15,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,right,,,,,4,14,110,5,,,,,space,0.869855666013,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,left,,,,,4,15,111,10,,,,,space,1.06260844605,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,left,,,,,4,16,112,3,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,left,,,,,4,17,113,18,,,,,space,1.13700414438,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,left,,,,,4,18,114,17,,,,,space,1.22176372975,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,left,,,,,4,19,115,8,,,,,space,1.04301629118,2014_II_04_1523,307.422007515,ior,001,Peto,
left,50,left,,,,,4,20,116,0,,,,,space,0.939459484376,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,right,,,,,4,21,117,23,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
left,350,right,,,,,4,22,118,20,,,,,space,1.25552828642,2014_II_04_1523,307.422007515,ior,001,Peto,
central,50,left,,,,,4,23,119,2,,,,,space,0.90152058432,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,right,,,,,5,0,120,22,,,,,space,1.16292545561,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,right,,,,,5,1,121,15,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
central,50,left,,,,,5,2,122,2,,,,,space,0.839910170148,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,left,,,,,5,3,123,10,,,,,space,1.02813555913,2014_II_04_1523,307.422007515,ior,001,Peto,
central,50,right,,,,,5,4,124,6,,,,,space,0.901603555759,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,left,,,,,5,5,125,8,,,,,space,1.00923085197,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,right,,,,,5,6,126,23,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,right,,,,,5,7,127,14,,,,,space,0.991355954458,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,left,,,,,5,8,128,17,,,,,space,1.24509085652,2014_II_04_1523,307.422007515,ior,001,Peto,
right,200,right,,,,,5,9,129,13,,,,,space,1.0544981974,2014_II_04_1523,307.422007515,ior,001,Peto,
right,200,left,,,,,5,10,130,9,,,,,space,1.08492350285,2014_II_04_1523,307.422007515,ior,001,Peto,
left,350,left,,,,,5,11,131,16,,,,,space,1.14856140934,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,left,,,,,5,12,132,1,,,,,space,0.96050971562,2014_II_04_1523,307.422007515,ior,001,Peto,
left,50,right,,,,,5,13,133,4,,,,,space,0.910587029916,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,left,,,,,5,14,134,18,,,,,space,1.1402885702,2014_II_04_1523,307.422007515,ior,001,Peto,
left,50,left,,,,,5,15,135,0,,,,,space,0.907238978697,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,right,,,,,5,16,136,12,,,,,space,0.912733461935,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,left,,,,,5,17,137,11,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,right,,,,,5,18,138,21,,,,,space,1.17231484728,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,left,,,,,5,19,139,19,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,right,,,,,5,20,140,7,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,left,,,,,5,21,141,3,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
left,350,right,,,,,5,22,142,20,,,,,space,1.23353100743,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,right,,,,,5,23,143,5,,,,,space,1.04938958722,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,right,,,,,6,0,144,5,,,,,space,0.928493216317,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,left,,,,,6,1,145,11,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,left,,,,,6,2,146,3,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,right,,,,,6,3,147,12,,,,,space,1.07087786297,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,left,,,,,6,4,148,1,,,,,space,1.08504453778,2014_II_04_1523,307.422007515,ior,001,Peto,
left,50,right,,,,,6,5,149,4,,,,,space,0.964693068532,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,right,,,,,6,6,150,23,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,right,,,,,6,7,151,7,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,right,,,,,6,8,152,15,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,right,,,,,6,9,153,21,,,,,space,1.37464873329,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,left,,,,,6,10,154,8,,,,,space,1.25385998779,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,right,,,,,6,11,155,22,,,,,space,1.3282434639,2014_II_04_1523,307.422007515,ior,001,Peto,
central,50,left,,,,,6,12,156,2,,,,,space,0.956724737362,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,left,,,,,6,13,157,18,,,,,space,1.23659829671,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,right,,,,,6,14,158,14,,,,,space,1.04872518714,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,left,,,,,6,15,159,19,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,left,,,,,6,16,160,17,,,,,space,1.31770371653,2014_II_04_1523,307.422007515,ior,001,Peto,
right,200,right,,,,,6,17,161,13,,,,,space,1.09596855187,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,left,,,,,6,18,162,10,,,,,space,1.03185404849,2014_II_04_1523,307.422007515,ior,001,Peto,
left,50,left,,,,,6,19,163,0,,,,,space,0.916968567234,2014_II_04_1523,307.422007515,ior,001,Peto,
left,350,right,,,,,6,20,164,20,,,,,space,1.28701860153,2014_II_04_1523,307.422007515,ior,001,Peto,
central,50,right,,,,,6,21,165,6,,,,,space,0.857745327968,2014_II_04_1523,307.422007515,ior,001,Peto,
right,200,left,,,,,6,22,166,9,,,,,space,1.06037129021,2014_II_04_1523,307.422007515,ior,001,Peto,
left,350,left,,,,,6,23,167,16,,,,,space,1.21066022358,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,right,,,,,7,0,168,22,,,,,space,1.16875482778,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,right,,,,,7,1,169,12,,,,,space,1.09140658938,2014_II_04_1523,307.422007515,ior,001,Peto,
central,50,right,,,,,7,2,170,6,,,,,space,0.891828151343,2014_II_04_1523,307.422007515,ior,001,Peto,
right,200,right,,,,,7,3,171,13,,,,,space,1.03255546445,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,left,,,,,7,4,172,11,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
left,50,left,,,,,7,5,173,0,,,,,space,0.946145110622,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,left,,,,,7,6,174,19,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
left,50,right,,,,,7,7,175,4,,,,,space,0.971074815375,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,right,,,,,7,8,176,5,,,,,space,0.903560927436,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,right,,,,,7,9,177,21,,,,,space,1.32083553915,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,left,,,,,7,10,178,8,,,,,space,1.02612420014,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,left,,,,,7,11,179,10,,,,,space,0.961093937917,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,right,,,,,7,12,180,7,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,right,,,,,7,13,181,15,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,left,,,,,7,14,182,3,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
left,350,left,,,,,7,15,183,16,,,,,space,1.16437878278,2014_II_04_1523,307.422007515,ior,001,Peto,
left,350,right,,,,,7,16,184,20,,,,,space,1.26861926586,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,right,,,,,7,17,185,14,,,,,space,1.00116306681,2014_II_04_1523,307.422007515,ior,001,Peto,
right,200,left,,,,,7,18,186,9,,,,,space,1.07742310824,2014_II_04_1523,307.422007515,ior,001,Peto,
central,50,left,,,,,7,19,187,2,,,,,space,0.876736009744,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,right,,,,,7,20,188,23,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,left,,,,,7,21,189,17,,,,,space,1.2201292343,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,left,,,,,7,22,190,1,,,,,space,1.01109044585,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,left,,,,,7,23,191,18,,,,,space,1.16947845327,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,left,,,,,8,0,192,17,,,,,space,1.18256824541,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,left,,,,,8,1,193,8,,,,,space,1.01352266838,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,left,,,,,8,2,194,18,,,,,space,1.12210853614,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,right,,,,,8,3,195,15,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,left,,,,,8,4,196,11,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,right,,,,,8,5,197,14,,,,,space,0.966230344918,2014_II_04_1523,307.422007515,ior,001,Peto,
central,50,right,,,,,8,6,198,6,,,,,space,0.899428558658,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,right,,,,,8,7,199,22,,,,,space,1.15101437473,2014_II_04_1523,307.422007515,ior,001,Peto,
left,50,left,,,,,8,8,200,0,,,,,space,0.827319463787,2014_II_04_1523,307.422007515,ior,001,Peto,
left,350,right,,,,,8,9,201,20,,,,,space,0.772960460059,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,left,,,,,8,10,202,1,,,,,space,0.982987712126,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,left,,,,,8,11,203,19,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,right,,,,,8,12,204,21,,,,,space,1.17974491171,2014_II_04_1523,307.422007515,ior,001,Peto,
left,350,left,,,,,8,13,205,16,,,,,space,1.21852058013,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,right,,,,,8,14,206,23,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
central,50,left,,,,,8,15,207,2,,,,,space,0.89990662221,2014_II_04_1523,307.422007515,ior,001,Peto,
left,50,right,,,,,8,16,208,4,,,,,space,0.965681462309,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,left,,,,,8,17,209,10,,,,,space,0.940614240078,2014_II_04_1523,307.422007515,ior,001,Peto,
right,200,right,,,,,8,18,210,13,,,,,space,1.02159254877,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,right,,,,,8,19,211,7,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,left,,,,,8,20,212,3,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,right,,,,,8,21,213,5,,,,,space,0.829606765664,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,right,,,,,8,22,214,12,,,,,space,1.03343392806,2014_II_04_1523,307.422007515,ior,001,Peto,
right,200,left,,,,,8,23,215,9,,,,,space,1.03028485464,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,right,,,,,9,0,216,22,,,,,space,1.10700326438,2014_II_04_1523,307.422007515,ior,001,Peto,
