target_side,target_time,cue_side,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block0.thisRepN,block0.thisTrialN,block0.thisN,block0.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,trialKey.keys,trialKey.rt,date,frameRate,expName,session,participant,
none,50,left,,,,,5,21,141,3,,,,,space,0.845738285173,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,350,right,,,,,5,22,142,20,,,,,space,1.20854186775,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,50,right,,,,,5,23,143,5,,,,,space,0.906822515151,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,50,right,,,,,6,0,144,5,,,,,space,0.859405594845,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,200,left,,,,,6,1,145,11,,,,,space,0.857382223159,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,50,left,,,,,6,2,146,3,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,200,right,,,,,6,3,147,12,,,,,space,1.13052671499,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,50,left,,,,,6,4,148,1,,,,,space,1.05207728915,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,50,right,,,,,6,5,149,4,,,,,space,0.931877724683,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,350,right,,,,,6,6,150,23,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,50,right,,,,,6,7,151,7,,,,,space,1.08835131281,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,200,right,,,,,6,8,152,15,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,350,right,,,,,6,9,153,21,,,,,space,1.29680804404,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,200,left,,,,,6,10,154,8,,,,,space,1.40695367707,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,right,,,,,6,11,155,22,,,,,space,1.28838804932,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,left,,,,,6,12,156,2,,,,,space,0.933722651902,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,left,,,,,6,13,157,18,,,,,space,1.41527777972,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,200,right,,,,,6,14,158,14,,,,,space,1.05962461709,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,350,left,,,,,6,15,159,19,,,,,space,0.880950581708,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,350,left,,,,,6,16,160,17,,,,,space,1.22444612374,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,200,right,,,,,6,17,161,13,,,,,space,1.10658093417,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,200,left,,,,,6,18,162,10,,,,,space,0.807704680344,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,50,left,,,,,6,19,163,0,,,,,space,0.87205273296,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,350,right,,,,,6,20,164,20,,,,,space,1.92221553298,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,right,,,,,6,21,165,6,,,,,space,1.00543602609,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,200,left,,,,,6,22,166,9,,,,,space,0.813846801759,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,350,left,,,,,6,23,167,16,,,,,space,0.876354396997,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,right,,,,,7,0,168,22,,,,,space,1.10635506747,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,200,right,,,,,7,1,169,12,,,,,space,0.979256092604,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,right,,,,,7,2,170,6,,,,,space,0.823028136258,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,200,right,,,,,7,3,171,13,,,,,space,0.849297745943,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,200,left,,,,,7,4,172,11,,,,,space,0.787531376194,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,50,left,,,,,7,5,173,0,,,,,space,0.872477926664,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,350,left,,,,,7,6,174,19,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,50,right,,,,,7,7,175,4,,,,,space,0.814981024125,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,50,right,,,,,7,8,176,5,,,,,space,0.844445942152,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,350,right,,,,,7,9,177,21,,,,,space,0.781273248415,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,200,left,,,,,7,10,178,8,,,,,space,0.998848526838,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,200,left,,,,,7,11,179,10,,,,,space,0.983321274072,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,50,right,,,,,7,12,180,7,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
